phy.species,depth_cat,habitat3,benthic,sociality.3,sociality.bin,depth.max,depth.min,depth.range,depth.mean,lat.range,lifespan.max,lifespan.min,matage.max,matage.min,defense.repertoire,foraging.repertoire,cog2,diet.breadth,predator.breadth,WoS,articles.read,lifespan.mean,matage.mean,pos.latmean,eq.dist,CNS_measure,CNS_value,ML_measure,ML_value
Eledone_cirrhosa,1,2,1,2,0,0.003,0.553,0.124,-0.035,-0.245,0.782,0.378,0.971,-0.367,-0.575,1.181,-0.225,1.073,1.061,1.416,1.583,0.653,0.527,1.213,0.498,CNS.1,1.084,ML.1,0.453
Eledone_cirrhosa,1,2,1,2,0,0.003,0.553,0.124,-0.035,-0.245,0.782,0.378,0.971,-0.367,-0.575,1.181,-0.225,1.073,1.061,1.416,1.583,0.653,0.527,1.213,0.498,CNS.2,0.547,ML.2,0.493
Eledone_cirrhosa,1,2,1,2,0,0.003,0.553,0.124,-0.035,-0.245,0.782,0.378,0.971,-0.367,-0.575,1.181,-0.225,1.073,1.061,1.416,1.583,0.653,0.527,1.213,0.498,CNS.3,NA,ML.3,NA
Eledone_moschata,1,2,1,2,0,-0.177,-1.227,0.042,-0.215,-1.231,0.2,0.475,0.971,0.425,-0.575,0.628,0.506,1.073,1.061,1.388,0.962,0.259,0.707,0.843,0.431,CNS.1,0.823,ML.1,0.42
Eledone_moschata,1,2,1,2,0,-0.177,-1.227,0.042,-0.215,-1.231,0.2,0.475,0.971,0.425,-0.575,0.628,0.506,1.073,1.061,1.388,0.962,0.259,0.707,0.843,0.431,CNS.2,0.297,ML.2,0.493
Eledone_moschata,1,2,1,2,0,-0.177,-1.227,0.042,-0.215,-1.231,0.2,0.475,0.971,0.425,-0.575,0.628,0.506,1.073,1.061,1.388,0.962,0.259,0.707,0.843,0.431,CNS.3,0.056,ML.3,NA
Enteroctopus_dofleini,1,2,1,1,0,0.424,-1.227,0.324,0.373,-0.425,1.515,1.711,1.603,1.997,1.152,1.392,1.665,1.57,0.701,1.343,1.271,1.69,1.681,1.184,0.493,CNS.1,1.977,ML.1,NA
Enteroctopus_dofleini,1,2,1,1,0,0.424,-1.227,0.324,0.373,-0.425,1.515,1.711,1.603,1.997,1.152,1.392,1.665,1.57,0.701,1.343,1.271,1.69,1.681,1.184,0.493,CNS.2,NA,ML.2,NA
Enteroctopus_dofleini,1,2,1,1,0,0.424,-1.227,0.324,0.373,-0.425,1.515,1.711,1.603,1.997,1.152,1.392,1.665,1.57,0.701,1.343,1.271,1.69,1.681,1.184,0.493,CNS.3,NA,ML.3,NA
Galiteuthis_armata,3,0,0,1,0,0.766,0.962,0.415,0.827,-0.803,NA,NA,NA,NA,NA,NA,NA,-0.828,0.701,-0.002,0.334,NA,NA,-4.688,0.534,CNS.1,0.053,ML.1,1.642
Galiteuthis_armata,3,0,0,1,0,0.766,0.962,0.415,0.827,-0.803,NA,NA,NA,NA,NA,NA,NA,-0.828,0.701,-0.002,0.334,NA,NA,-4.688,0.534,CNS.2,NA,ML.2,NA
Galiteuthis_armata,3,0,0,1,0,0.766,0.962,0.415,0.827,-0.803,NA,NA,NA,NA,NA,NA,NA,-0.828,0.701,-0.002,0.334,NA,NA,-4.688,0.534,CNS.3,NA,ML.3,NA
Gonatus_fabricii,3,0,0,3,1,0.888,0.861,0.526,0.861,-0.362,0.782,0.16,1.603,1.997,NA,NA,-0.225,1.073,1.061,0.806,0.781,0.589,1.681,1.553,0.551,CNS.1,0.09,ML.1,0.453
